"x","y","ARRONDISSEMENT"
652975.1527,6858659.5955,75013
653202.5086,6858238.6097,75013
654837.6976,6862242.3766,75011
654536.1777,6862114.4167,75011
653856.4185,6861807.8674,75011
651274.4287,6862755.4988,75001
651200.4192,6862726.928,75001
655489.1984,6865568.313,75019
653185.483,6861390.5571,75004
653610.1694,6861712.1625,75004
645613.3319,6859934.7885,75016
654508.0448,6866340.3326,75019
645507.3523,6860075.921,75016
651707.1356,6861339.9855,75006
654517.8046,6860178.7334,75012
650367.4042,6863636.9905,75008
653111.6937,6863600.7315,75010
651415.4544,6860400.1385,75005
655008.4478,6860943.2258,75012
654770.0719,6860699.8104,75012
652464.8004,6859797.8059,75013
648762.2519,6863255.6289,75008
651252.3527,6865289.3201,75018
650374.4362,6864243.5432,75008
651346.7201,6861491.0438,75006
650712.3082,6865028.1642,75009
649827.4317,6863727.7974,75008
653673.0701,6862006.5665,75011
648242.9006,6864272.4815,75017
647821.8651,6865110.9294,75017
650943.1674,6859436.9513,75014
649962.1372,6862316.0545,75007
649198.6161,6861937.4527,75007
654130.0575,6863006.0225,75011
653808.085,6866722.7061,75018
653289.9862,6866338.6182,75018
652936.4259,6864220.6905,75010
652825.7125,6861938.0371,75004
654071.8606,6864706.9095,75019
652271.19,6862132.3246,75004
656810.7911,6862711.9336,75020
652691.1982,6862047.7163,75004
653964.0729,6860684.5325,75012
653964.0729,6860684.5325,75012
650151.2508,6864103.4355,75008
653969.9795,6858676.0066,75013
653306.996,6858442.3254,75013
653151.1406,6859476.866,75013
652372.3358,6862876.0468,75002
651247.6963,6864242.8875,75009
650732.7387,6863824.5673,75009
652066.5356,6862463.9483,75001
652909.221,6861966.8778,75004
649620.7114,6859266.5713,75014
650926.9098,6864007.5133,75009
652811.4272,6858768.0689,75013
651017.2438,6859634.6717,75014
652078.4223,6862977.232,75002
650717.1526,6861142.0587,75006
652037.059,6863618.9223,75002
652365.3335,6863037.5843,75002
652260.1917,6861304.9435,75005
652656.8058,6864524.8097,75010
651803.6073,6861240.0307,75005
648890.1671,6862271.3768,75007
653559.2322,6862503.7774,75003
656077.5625,6859843.7953,75012
656335.525,6860661.989,75012
656757.1861,6860686.0508,75012
648485.3324,6862328.8886,75007
651657.2117,6863717.3017,75002
651289.3287,6863190.833,75001
652277.5407,6862674.2962,75001
650912.1517,6863060.2818,75001
654674.1606,6862241.3556,75011
654056.6069,6861883.9994,75011
647806.5464,6863660.7381,75016
646893.2668,6860548.7818,75015
645622.2387,6860862.7708,75016
652181.6809,6860682.0872,75005
646097.9545,6861834.5775,75016
647670.1337,6862860.9598,75016
651823.787,6861478.3509,75005
651782.4354,6861673.7927,75006
651531.4126,6861581.4707,75006
653896.2372,6864868.0603,75019
652274.8505,6858027.8848,75013
655006.6615,6859395.6991,75012
653952.4059,6861113.704,75012
650746.4883,6860428.4262,75014
656497.6237,6862177.5533,75020
656715.4008,6862201.1931,75020
656765.0292,6861753.1311,75020
647618.4176,6863119.9484,75016
646927.2625,6862803.5444,75016
653942.1559,6859859.4453,75013
651083.1533,6859071.1855,75014
648872.0531,6859397.4141,75015
650452.5426,6864764.2096,75008
656094.2483,6863335.9411,75020
653244.5593,6864560.8578,75010
654715.8569,6864081.0961,75019
654246.1929,6863857.1791,75019
650530.5411,6858981.806,75014
655934.3665,6864136.5441,75019
652084.1313,6862387.4073,75001
650454.9058,6859418.1738,75014
654505.7757,6863506.0609,75020
652986.9984,6865787.6233,75018
653070.6049,6865493.3155,75018
655883.9815,6861398.6578,75020
649994.9511,6859857.2573,75014
648305.821,6859865.5724,75015
651125.1245,6865146.9336,75018
652084.9217,6865597.39,75018
651205.1084,6865026.9505,75018
651342.4074,6861670.5405,75006
650436.9562,6864198.4302,75008
655541.5542,6861101.7935,75012
653946.293,6858895.3628,75013
648435.0669,6863870.0779,75008
653581.0274,6861900.9495,75004
655664.758,6864971.418,75019
654490.1308,6866056.3563,75019
647538.2235,6861038.3126,75015
655320.3113,6863397.8382,75020
647250.6627,6860474.7766,75015
648093.4347,6865279.5914,75017
652203.0586,6862438.4984,75001
650183.7438,6860461.4124,75015
654953.4637,6864504.2637,75019
649514.3237,6860828.0918,75015
649027.1363,6861954.7674,75007
648410.0068,6864178.9568,75008
648788.6071,6863829.3467,75008
650973.6149,6862048.3565,75007
648738.6318,6862496.59,75007
655721.2762,6863203.9058,75020
648636.5596,6864009.0539,75008
650496.4122,6860363.9053,75014
649775.0415,6860311.919,75015
649199.7701,6860663.9526,75015
652717.4102,6858952.1064,75013
652581.5119,6858644.5991,75013
649377.2127,6858690.8589,75014
649032.7621,6859966.0873,75015
648006.0816,6863816.2683,75016
649616.6448,6860561.0347,75015
654851.3053,6860944.5681,75012
656814.2195,6860994.7333,75020
646888.9876,6861688.0296,75016
655904.3906,6862084.2871,75020
654799.9616,6863120.1187,75020
656008.5246,6861150.297,75020
650761.8016,6859124.312,75014
648936.7688,6864607.6099,75017
648731.5472,6865648.3648,75017
655838.6257,6862962.075,75020
648539.7458,6865247.8262,75017
656718.5703,6860905.0223,75012
656450.1438,6859701.6868,75012
650436.9562,6864198.4302,75008
651802.788,6866145.0509,75018
647472.8957,6864524.8461,75017
647788.12,6864708.0918,75017
647750.4439,6860329.061,75015
650868.8989,6860622.4704,75006
